doi,name
https://doi.org/10.6084/m9.figshare.c.3804628_d2,openaire
https://doi.org/10.6084/m9.figshare.c.3804628_d2.v1,openaire
https://doi.org/10.6084/m9.figshare.c.3804628_d1.v1,openaire
https://doi.org/10.6084/m9.figshare.c.3804628_d1,openaire
https://doi.org/10.3389/fpls.2018.01030,openaire
https://doi.org/10.1186/s13007-017-0199-x,openaire
https://doi.org/10.1111/pce.13035,openaire
https://doi.org/10.1101/102426,openaire
https://doi.org/10.1093/jxb/eraa390,openaire
https://doi.org/10.3389/fpls.2016.01088,openaire
https://doi.org/10.1104/pp.114.254672,openaire
https://doi.org/10.3389/fpls.2019.01780,openaire
https://doi.org/10.1111/nph.16642,openaire
https://doi.org/10.1101/630699,openaire
https://doi.org/10.3389/fpls.2018.00990,openaire
https://doi.org/10.1101/272112,openaire
https://doi.org/10.1111/pce.13388,openaire
https://doi.org/10.1063/1.4907590,openaire
https://doi.org/10.1103/physrevlett.112.133003,openaire
https://doi.org/10.1063/1.4769197,openaire
https://doi.org/10.1103/physreve.89.040801,openaire
https://doi.org/10.1063/1.4948411,openaire
https://doi.org/10.1088/0953-4075/47/4/041001,openaire
https://doi.org/10.1063/1.4891471,openaire
https://doi.org/10.1103/physreva.91.023406,openaire
https://doi.org/10.1103/physreva.95.022713,openaire
https://doi.org/10.1063/1.4766257,openaire
https://doi.org/10.1128/microbiolspec.mtbp-0015-2016,openaire
https://doi.org/10.1186/s12920-017-0313-y,openaire
https://doi.org/10.1002/ece3.2580,openaire
https://doi.org/10.5281/zenodo.160954,openaire
https://doi.org/10.1016/j.mib.2017.05.005,openaire
https://doi.org/10.1093/bioinformatics/btx462,openaire
https://doi.org/10.1101/223693,openaire
https://doi.org/10.1093/bioinformatics/bty112,openaire
https://doi.org/10.3389/fmolb.2016.00071,openaire
https://doi.org/10.1371/journal.pgen.1004766,openaire
https://doi.org/10.1101/204925,openaire
https://doi.org/10.17863/cam.17532,openaire
https://doi.org/10.1126/sciadv.aat5771,openaire
https://doi.org/10.1371/journal.pone.0148098,openaire
https://doi.org/10.17863/cam.34859,openaire
https://doi.org/10.1093/bioinformatics/btw601,openaire
https://doi.org/10.1093/nar/gku741,openaire
https://doi.org/10.1371/journal.pone.0152666,openaire
https://doi.org/10.6084/m9.figshare.5788560,openaire
https://doi.org/10.6084/m9.figshare.5788560.v1,openaire
https://doi.org/10.1093/nar/gku194,openaire
https://doi.org/10.6084/m9.figshare.5788581,openaire
https://doi.org/10.6084/m9.figshare.5788581.v1,openaire
https://doi.org/10.6084/m9.figshare.5788605.v1,openaire
https://doi.org/10.6084/m9.figshare.5788605,openaire
https://doi.org/10.6084/m9.figshare.5788689,openaire
https://doi.org/10.6084/m9.figshare.5788689.v1,openaire
https://doi.org/10.6084/m9.figshare.5788677.v1,openaire
https://doi.org/10.6084/m9.figshare.5788677,openaire
